Zone,Temp_in,Salinity,mean_vals
Ambient,23.72369608,34.60382005,379.84739819683335
Ambient,23.85659446,34.57085822,386.8348347343333
Ambient,23.87478944,34.47636764,380.31436219716664
Ambient,23.89699277,34.6011831,369.06681885316664
Ambient,23.90270436,34.60250158,383.154770025
Ambient,23.91328356,34.63478577,336.0636285268333
Ambient,23.91871166,34.5963487,380.9760026675
Ambient,23.96234839,34.64312917,377.176805339
Ambient,23.96962105,34.59327226,374.87244465550003
Ambient,24.04085082,34.62560803,376.52565468250003
Ambient,24.04954757,34.60865445,378.30735254916664
Ambient,24.06194201,34.57832957,384.19575626349996
Ambient,24.10860383,34.57789008,381.32030842849997
Ambient,24.11935325,34.642712,378.75580648433333
Ambient,24.25437307,34.6112914,381.95887105950004
Ambient,24.26640693,34.61304936,376.465497733
Ambient,24.27209963,34.5915143,376.43124031516663
Ambient,24.28645788,34.61348885,378.0481357346667
Ambient,24.30539432,34.67149674,383.31547254733334
Ambient,24.31659874,34.6060175,382.31393587216667
Ambient,24.33583742,34.66607353,383.26440421866664
Ambient,24.35883647,34.65898163,379.176287748
Ambient,24.39985111,34.65898163,374.57977765333334
Ambient,24.44086574,34.66607353,382.02841327383334
Ambient,24.50119932,34.61964173,385.75043109216665
Ambient,24.51562606,34.59942514,380.85129534633336
Ambient,24.52336819,34.60557801,384.23765737033335
Ambient,24.56946139,34.581406,372.05922094233335
Ambient,24.64398819,34.66273617,376.58526599333334
Ambient,24.76463798,34.61480733,375.32250507316667
Ambient,24.77369034,34.60733598,378.91693137733336
Ambient,24.78615874,34.65397559,374.7210242203334
Ambient,24.81012382,34.66190183,370.85357630849995
Ambient,24.82692601,34.65397559,383.8315512203333
Ambient,24.86769328,34.66148466,372.6586610495
Ambient,24.97791928,34.59854616,381.44736867616666
Ambient,25.02807664,34.61173089,383.1162163945
Ambient,25.24803637,34.60821496,378.9369760473333
Ambient,25.31753883,34.60865445,382.23540638249995
Ambient,25.34936877,34.6510554,376.9033762405
Ambient,25.52240571,34.60162259,374.38882668816666
Ambient,25.53368361,34.64771804,375.2995506683333
Ambient,25.54394564,34.58799837,377.5575628015
Ambient,25.57611959,34.5915143,381.6083061485
Ambient,25.63735834,34.59107481,375.82731914683336
Ambient,25.64365472,34.56074992,376.67680036133333
Ambient,25.65576359,34.56558433,371.2679332136667
Ambient,25.66787286,34.63144841,381.378001733
Ambient,25.71026052,34.59898565,376.3334875111667
Ambient,25.72976343,34.61173089,377.94828606116664
Ambient,25.8020621,34.64396351,371.8543835038333
Ambient,25.82313164,34.59019583,378.65537764333334
Ambient,25.8971684,34.557234,371.97398751416665
Ambient,25.90139646,34.58536142,379.83750129116663
Ambient,25.90139646,34.60425954,379.78235586516666
Ambient,25.91379523,34.59195379,380.61826748366667
Ambient,26.04433627,34.64104332,379.10826788066663
Ambient,26.12973977,34.63228275,381.90001361
Ambient,26.14198803,34.60909394,378.2927065508334
Ambient,26.1885656,34.58843786,376.7747313031667
Ambient,26.2700186,34.08662428,381.71533053033335
Ambient,26.28370408,34.60683537,376.329743739
Ambient,26.37324359,34.59722768,378.4932663376667
Ambient,26.3766665,34.63520294,380.46377447366666
Ambient,26.38784991,34.61348885,377.24643990133336
Ambient,26.39607726,34.63937464,382.9599244831667
Ambient,26.44907773,34.63979181,376.91573739600005
Ambient,26.45559787,34.63018951,378.8399736335
Ambient,26.48281306,34.59898565,382.0081608445
Ambient,26.48281306,34.60953343,379.42288421916663
Ambient,26.52213592,34.63061407,383.6110129183333
Ambient,26.52661899,34.61700478,379.3952317485
Ambient,26.55552153,34.5605295,378.6123826985
Ambient,26.66196532,34.6385403,375.69600563650005
Ambient,26.73234029,34.6359029,376.3121656558334
Ambient,26.76421938,33.11795536,383.7093011531667
Ambient,26.76743323,34.61964173,377.4949725921667
Ambient,26.7705343,34.60294107,374.83426335999997
Ambient,26.78095108,34.6359029,379.07350998916667
Ambient,26.82956186,34.59019583,376.3668191433333
Ambient,26.93993178,34.61788376,375.636351752
Ambient,26.94792715,34.61559595,375.23597572333335
Ambient,26.96524308,34.61476161,379.4801877053334
Ambient,27.00824746,34.5717372,379.334873571
Ambient,27.02672311,34.61976765,379.5369904803333
Ambient,27.10562886,34.59932631,379.2956161213333
Ambient,27.22096664,34.60689649,375.46562120883334
Ambient,27.24601463,34.62519086,379.6650990143333
Ambient,27.32518847,34.63103124,377.9437756406667
Ambient,27.34219822,34.5765716,375.9377434233333
Ambient,27.39999941,34.60294107,375.7644540266666
Ambient,27.40983169,34.59766717,376.2326766726667
Ambient,27.43287305,34.55635501,372.7875578441667
Ambient,27.46158297,34.63186558,380.637197492
Ambient,27.50769411,34.58448244,373.77979978766666
Ambient,27.50866273,34.61726463,375.20459592616663
Ambient,27.68477446,34.57613211,374.40530308833337
Ambient,27.69213699,34.63061407,380.817651215
Ambient,27.8797316,34.59766717,379.03634433933337
Ambient,27.94864676,34.61304936,378.393141733
Ambient,28.49729411,34.59678819,377.615906836
Diffuse,23.26102354,29.12292683,385.0983920466667
Diffuse,23.44991079,34.39366146,391.7367083103333
Diffuse,23.51966167,32.10970819,388.7374860875
Diffuse,23.55826206,34.2885346,386.1290856385
Diffuse,23.56437412,34.30063254,387.9436688635
Diffuse,23.6051587,33.80420014,398.20080225099997
Diffuse,23.61317188,34.5176798,390.03306419250004
Diffuse,23.65167304,34.52471166,382.74511272
Diffuse,23.6523039,34.5128454,386.27548084016667
Diffuse,23.65293476,34.45966698,383.11542063183333
Diffuse,23.6722341,33.23476298,405.1459035375
Diffuse,23.67884846,34.3456869,383.7437186305
Diffuse,23.69314217,34.2718478,382.1675314423333
Diffuse,23.72550249,32.20639623,382.29901146633335
Diffuse,23.74387241,34.43769242,386.3303135456667
Diffuse,23.74796861,34.4486797,377.6652022553333
Diffuse,23.7800959,34.53833588,383.5776269401666
Diffuse,23.80041662,34.53130402,386.83391791249994
Diffuse,23.80186672,34.60725254,381.9501514716667
Diffuse,23.80725669,34.35155217,386.20887737466666
Diffuse,23.82914525,34.44252682,382.6592932313334
Diffuse,23.83159862,34.17548151,380.716854087
Diffuse,23.8555654,34.37280296,383.24641019533334
Diffuse,23.87418146,34.2073991,386.07890147633333
Diffuse,23.87550248,34.56031043,373.22874135966663
Diffuse,23.879532180000002,34.16088056,389.801559669
Diffuse,23.8898623,34.34759675,376.26732685916664
Diffuse,23.97824596,34.00567269,373.12222818566664
Diffuse,23.9802397,34.54404926,382.64201629583334
Diffuse,23.98434878,34.25808119,388.01429922433334
Diffuse,24.00516582,34.0201759,373.72504207583336
Diffuse,24.00713255,34.55327858,382.08496399866664
Diffuse,24.05007101,34.56953975,383.8225860625
Diffuse,24.08231046,33.66594609,383.5691786873333
Diffuse,24.14020952,34.57888498,375.387791088
Diffuse,24.20107795,34.53466495,379.96782947233334
Diffuse,24.2099128,34.51005192,382.47878953483337
Diffuse,24.23656885,34.54175684,373.5507053756666
Diffuse,24.2475804,33.05371117,391.50172259650003
Diffuse,24.27495121,33.38995025,386.2560724536667
Diffuse,24.33998962,32.75877192,394.79679915016663
Diffuse,24.40795864,34.27685384,376.2281617275
Diffuse,24.43239884,33.37576647,383.2816032361667
Diffuse,24.45273464,28.02859405,386.02874275833335
Diffuse,24.50343263,34.48427848,377.2912685616667
Diffuse,24.54774649,32.88767747,397.1887731708334
Diffuse,24.61700769,32.66478542,375.22967276316666
Diffuse,24.62121492,34.39533014,375.57839145766667
Diffuse,24.71548058,33.68196931,394.42864902316666
Diffuse,24.77716809,34.40534223,367.74871582283333
Diffuse,25.04213669,32.3602181,379.624287736
Diffuse,25.21517828,32.71840333,378.71774214000004
Diffuse,25.21517828,34.54141232,380.89881811883333
Diffuse,25.28877011,33.64045561,378.80606408750003
Diffuse,25.30033536,34.57789008,380.23856926183333
Diffuse,25.30856245,34.38011909,377.62344598666664
Diffuse,25.35710456,34.42714464,380.27381650433335
Diffuse,25.36276525,34.54888366,379.6590899815
Diffuse,25.41696805,34.50581354,378.38083664600003
Diffuse,25.44160305,34.53394097,375.5699955895
Diffuse,25.46793771,33.91074262,380.11062698016667
Diffuse,25.4691375,34.45219563,374.85599876916666
Diffuse,25.4691375,34.56426585,376.1632543751667
Diffuse,25.47615229,34.39198535,375.58358319983336
Diffuse,25.48436687,34.47592815,376.5854178621667
Diffuse,25.48436687,34.5669028,378.4449398855
Diffuse,25.5396418,34.52603013,382.6464955585
Diffuse,25.5747585,34.34364133,379.36011801033334
Diffuse,25.57880871,34.54141232,383.40906261883333
Diffuse,25.65082403,34.5075715,379.3710766528333
Diffuse,25.65252817,34.48515746,377.44408656499996
Diffuse,25.67325055,34.52515115,379.6175938885
Diffuse,25.73860766,34.4474764,368.07426083583334
Diffuse,25.76804737,34.49526575,378.26366727133336
Diffuse,25.82009286,34.21926536,377.50733235616667
Diffuse,25.83356331,34.50361608,376.6747614706666
Diffuse,25.88621737,34.25849836,378.437789497
Diffuse,25.89532258,34.57832957,377.6366707635
Diffuse,25.93392292,34.60308084,374.1782952858333
Diffuse,25.95708185,34.57569262,375.03932891983334
Diffuse,25.99096602,34.08620711,374.66186768599994
Diffuse,26.03382707,34.23763985,376.0564725458333
Diffuse,26.04415533,34.62060199,386.5227815458333
Diffuse,26.0501276,34.58013649,374.9619150395
Diffuse,26.07985873,34.63395143,384.825309373
Diffuse,26.08314479,34.54976265,375.4378996516666
Diffuse,26.09454258,34.63186558,379.00594932683333
Diffuse,26.13841495,34.63645445,379.84742971333327
Diffuse,26.1586899,34.2105238,381.659616429
Diffuse,26.16875144,32.65990261,397.0093014093334
Diffuse,26.21514327,33.3515706,386.61776925550004
Diffuse,26.22549947,34.08578994,370.0995980936667
Diffuse,26.25084177,34.62435652,381.93489982949995
Diffuse,26.27084599,32.9473328,398.9404717116667
Diffuse,26.2823993,34.62435652,383.1175095573333
Diffuse,26.31830068,34.63687162,379.6641694225
Diffuse,26.32904648,34.21302682,382.0649080965
Diffuse,26.32914645,32.66866318,402.38580501549995
Diffuse,26.33574397,34.62352218,381.3719141523334
Diffuse,26.3741154,34.10080807,363.97766225183335
Diffuse,26.42200645,34.54185181,378.56997478733336
Diffuse,26.4641387,31.43383975,413.2920609651666
Diffuse,26.46962893,34.61142425,390.7490322996666
Diffuse,26.47511916,34.61851614,380.1989517031667
Diffuse,26.49456815,34.61643029,384.8471925746667
Diffuse,26.53508651,34.59098291,379.23350877416664
Diffuse,26.55823033,33.9664793,390.0936683455
Diffuse,26.57201624,34.10539694,392.71571910116666
Diffuse,26.5916292,34.5450942,379.58753210616663
Diffuse,26.60597928,32.41032009,380.1859509323333
Diffuse,26.75952595,34.10122524,388.33198234416665
Diffuse,26.78995211,34.49746321,375.8304846133333
Diffuse,26.79420944,32.83761706,399.37340242100004
Diffuse,26.90438398,33.75497407,385.63162151933335
Diffuse,26.97355833,34.5225142,377.6301692115
Diffuse,27.0354885,32.82426762,386.71264313216665
Diffuse,27.05741591,34.63979181,375.6483895801667
Diffuse,27.06774146,33.63107456,394.3759257551667
Diffuse,27.13163491,33.95187835,382.8790207796667
Diffuse,27.16259166,34.50317659,374.18400680233333
Diffuse,27.22778133,33.47171559,391.9624696406667
Diffuse,27.27202689,34.53789639,371.9354709383333
Diffuse,27.31654507,34.63728879,375.4208691926667
Diffuse,27.3170607,34.52910657,369.964375404
Diffuse,27.32303057,34.61851614,375.6389835365
Diffuse,27.42211556,34.51592183,373.39694768566665
Diffuse,27.42398694,34.6260252,377.95536653233336
Diffuse,27.48360478,34.54668621,374.33481380616666
Diffuse,27.48468849,34.54317028,373.9300522925
Diffuse,27.53207537,34.58514253,375.8267483145
Diffuse,27.55117867,33.64484117,383.60209263650006
Diffuse,27.65231627,34.53965435,375.079809612
Diffuse,27.79777626,34.61058991,376.2857382816667
Diffuse,27.8310537,34.55135175,379.0170068333333
Diffuse,27.89482354,34.46458038,376.09181478933334
Diffuse,27.89644282,34.64521502,385.02531744749996
Diffuse,27.96183195,34.61559595,375.79040972333337
Diffuse,28.01096694,34.58347385,379.37949311166665
Diffuse,28.13003202,34.63728879,375.485370026
Offshore,24.12984958,34.58448244,380.25894595433334
Offshore,24.12984958,34.61041242,378.00945938933336
Offshore,24.43115441,34.59459074,384.1778343273333
Offshore,24.43115441,34.60953343,380.7302413858333
Offshore,24.60358254,34.61348885,381.80834556800005
Offshore,24.60358254,34.62139969,381.40913993233335
Transition,23.56789117,33.76206596,390.42324990316666
Transition,23.57837763,33.64150381,383.1786701491667
Transition,23.80016594,34.11123732,376.9582787095
Transition,23.82150235,33.88137661,388.3003350816666
Transition,23.88018281,33.89514322,393.0599434695
Transition,23.99281824,31.16685089,418.82193752166665
Transition,24.02649761,33.23851751,393.33925801183335
Transition,24.1146881,33.41039158,390.2008587305
Transition,24.13040372,31.87562286,415.4399849403334
Transition,24.26588674,29.3304682,408.73521445666665
Transition,24.35549788,29.00382403,418.9415626383333
Transition,24.36430308,29.98459089,429.294282275
Transition,24.61367267,32.68159545,398.15713721199995
Transition,24.61572552,32.73165586,389.9127897951667
Transition,24.84828896,32.37497545,383.64385999449996
Transition,25.95308568,34.02905481,369.154701866
Transition,25.97532077,34.61017274,383.10930501449997
Transition,26.09657093,34.02488311,374.9290269425
Transition,26.12886004,34.59890914,382.49166499266664
Transition,26.14964391,33.71659442,387.6108978556667
Transition,26.18770102,34.56929007,376.97826869716664
Transition,26.23589757,34.61976765,380.38165190166666
Transition,26.29858645,34.6343686,380.4282576153334
Transition,26.34236521,34.34735558,385.595696503
Transition,26.43988305,34.11499185,378.2693260588333
Transition,26.48220751,32.89602088,397.376417518
Transition,26.59350312,34.2593327,373.55994651516664
Transition,26.60019207,33.1354765,395.00827536566663
Transition,26.66101029,33.99359536,384.0724130155
Transition,26.69573782,33.84424847,387.11616995083335
Transition,26.76143858,32.86348161,399.55476564733334
Transition,26.86921055,33.41498046,394.8867962465
Transition,26.93809503,34.44831074,379.0134225205
Transition,27.00614145,33.73870444,384.9301817506667
Transition,27.23597384,33.10043422,393.8881086075
Transition,27.80863216,34.58430819,377.607137463
Transition,27.86263556,34.46916925,377.8062929718334
Transition,27.93680125,34.61142425,377.6052652996667
Transition,28.34277982,34.59849197,374.15837477
Transition,28.80420676,34.56845573,376.6925384533334
